UMAP_dim,GMM_clusters,AvgSharpe,BIC,AvgEntropy,Stability,RankSharpe,RankBIC,RankEntropy,RankStability,Score
-1,4,0.04918678856841145,204570.96573500143,0.024209733737082635,0.021658499513046763,0.08571428571428572,0.2,0.5142857142857142,0.08571428571428572,-10.5531022567988
-1,5,0.06866645756525704,252367.62553711556,0.014054499335848389,0.022030712360998163,0.2857142857142857,0.17142857142857143,0.7428571428571429,0.11428571428571428,-5.507561696302357
-1,6,0.05443134748130322,270844.69438561413,0.009304519228446871,0.011587130326442284,0.14285714285714285,0.14285714285714285,0.9428571428571428,0.05714285714285714,-9.131946969824613
-1,7,0.0466891370316534,283550.1980490033,0.006792500319398864,0.0109007168219382,0.02857142857142857,0.11428571428571428,0.9714285714285714,0.02857142857142857,-11.075064327076968
-1,8,0.06104580093410067,409449.764425061,0.012868886950947116,0.04389062689219222,0.2,0.08571428571428572,0.7714285714285715,0.14285714285714285,-8.2946150318552
-1,9,0.07257435156404134,467351.34020266146,0.009961048583769677,0.10257323507268741,0.42857142857142855,0.05714285714285714,0.9142857142857143,0.2,-5.071317060105201
-1,10,0.04687995604078776,479455.4842737224,0.006466354754361808,0.08137621821648197,0.05714285714285714,0.02857142857142857,1.0,0.17142857142857143,-11.713724295314858
3,4,0.07346291799930083,11569.316518380303,0.09075321014583204,0.47246284641639014,0.4857142857142857,0.7142857142857143,0.05714285714285714,0.42857142857142855,-1.4714453958439782
3,5,0.07092601578776234,11397.290555545125,0.09475629788329068,0.43746072029931005,0.37142857142857144,0.8,0.02857142857142857,0.2571428571428571,-2.647438222862434
3,6,0.07543896262011644,11288.755803647446,0.07353534599312943,0.4739629629760504,0.5428571428571428,0.8285714285714286,0.08571428571428572,0.45714285714285713,-0.17441434046880244
3,7,0.08192113643225975,11246.510114249768,0.06414892518265322,0.4879288386873893,0.7714285714285715,0.8857142857142857,0.11428571428571428,0.5428571428571428,2.0319791803986846
3,8,0.0794373231604135,11229.157979539588,0.05090779178401842,0.4663440768999484,0.6857142857142857,0.9428571428571428,0.14285714285714285,0.37142857142857144,1.7853083027447814
3,9,0.08616272892411718,11196.69256357941,0.04496415393788852,0.5212622263471696,0.9428571428571428,0.9714285714285714,0.2,0.6571428571428571,4.311630441997545
3,10,0.08425780581352248,11243.55429605673,0.043493461031992184,0.5585807949368913,0.8571428571428571,0.9142857142857143,0.22857142857142856,0.8571428571428571,4.273789965921073
4,4,0.06622714306299736,12609.172795834946,0.03936436019211149,0.5169523974818224,0.22857142857142856,0.2857142857142857,0.2857142857142857,0.6285714285714286,-0.5307300152513099
4,5,0.06830450877308991,12570.421937519679,0.034483350803611375,0.45845798620834766,0.2571428571428571,0.3142857142857143,0.34285714285714286,0.3142857142857143,-0.37588456309153756
4,6,0.07295110560293853,12621.10662607941,0.024722878836898752,0.460924205024528,0.45714285714285713,0.2571428571428571,0.4857142857142857,0.34285714285714286,1.266137979648026
4,7,0.07079863051701106,12410.062799014142,0.0240807687960148,0.48027830461311377,0.34285714285714286,0.37142857142857144,0.5428571428571428,0.5142857142857142,0.9482041733543283
4,8,0.07820404219000457,11784.498464136374,0.04196402674383073,0.6630699626841765,0.6571428571428571,0.6571428571428571,0.2571428571428571,1.0,3.865478827503164
4,9,0.08054016079893646,11958.663621446107,0.032225666915762334,0.5753369196877187,0.7142857142857143,0.5428571428571428,0.37142857142857144,0.8857142857142857,4.008382892731431
4,10,0.08664154848596632,12257.282880318338,0.02377251053821334,0.5338350599631949,0.9714285714285714,0.45714285714285713,0.5714285714285714,0.7714285714285715,5.5123729606419785
5,4,0.0699878646131839,12512.156188155517,0.04790224664707041,0.47913116472834244,0.3142857142857143,0.34285714285714286,0.17142857142857143,0.4857142857142857,-0.34840296574682683
5,5,0.07151615165342677,12306.555963076642,0.03787529517430378,0.43404646108526385,0.4,0.42857142857142855,0.3142857142857143,0.22857142857142856,0.03761075823041998
5,6,0.07552098779816474,11686.871753622767,0.027828193850306174,0.5271995549898905,0.5714285714285714,0.6857142857142857,0.42857142857142855,0.7142857142857143,2.4529214436580817
5,7,0.08182434564970191,11095.826216043892,0.027226498276215826,0.5358951740962894,0.7428571428571429,1.0,0.45714285714285713,0.8,4.166735991438843
5,8,0.08852923601041934,11287.646889402517,0.018978936711904638,0.5018981224602973,1.0,0.8571428571428571,0.6571428571428571,0.6,5.890775870805756
5,9,0.08406009781670302,11408.111117448641,0.02286160976092969,0.5260761887651683,0.8,0.7714285714285715,0.6,0.6857142857142857,4.828334413701239
5,10,0.07683077038562931,11510.496243932266,0.02007806257072534,0.6412909821471988,0.6285714285714286,0.7428571428571429,0.6285714285714286,0.9714285714285714,4.291222230078482
6,4,0.04984222206704829,12757.128023467018,0.030913849436824948,0.46879049850183707,0.11428571428571428,0.22857142857142856,0.4,0.4,-4.780550194805495
6,5,0.05728501009904955,11860.810796278518,0.018699105011247788,0.4429388683806586,0.17142857142857143,0.6,0.6857142857142857,0.2857142857142857,-2.5998560764118155
6,6,0.07468424441449456,11827.214272215017,0.012722051171540648,0.5307480522446717,0.5142857142857142,0.6285714285714286,0.8,0.7428571428571429,2.960546555173261
6,7,0.07611172031525916,12039.650951276517,0.01019241462707235,0.5557097439715951,0.6,0.5142857142857142,0.8857142857142857,0.8285714285714286,3.6872797218952904
6,8,0.08424684293541373,11890.676497525517,0.010910548664927057,0.5821225303457375,0.8285714285714286,0.5714285714285714,0.8285714285714286,0.9142857142857143,5.980713019566053
6,9,0.08511708407945473,12151.062395337016,0.01073610495400246,0.629055793271578,0.8857142857142857,0.4857142857142857,0.8571428571428571,0.9428571428571428,6.681821189644401
6,10,0.0859918283551733,12387.724660336016,0.015610953274586116,0.49213285027678894,0.9142857142857143,0.4,0.7142857142857143,0.5714285714285714,5.294807492627317
